Time [s],Value,Parity Error,Framing Error
53.316411708333334,0x00,,Error
53.323950500000002,0xF0,,
53.326479916666663,0xF0,,
53.328148958333337,0x70,,Error
53.332348208333336,0x70,,Error
53.334459875000000,0x70,,Error
53.336546833333337,0x70,,Error
53.338241875000001,0x00,,Error
53.340328416666665,0x00,,
53.342024083333335,0x00,,Error
53.393537458333334,0x00,,Error
53.401076666666668,0xF0,,
53.404441875000003,0x70,,Error
53.406136583333335,0x00,,
53.408223999999997,0xF0,,
53.409475958333331,0xF0,,
53.411171708333335,0x00,,
53.412841166666666,0x00,,Error
53.415372041666664,0x00,,
53.416623874999999,0x00,,
53.417876249999999,0xF0,,
53.419155041666670,0x00,,Error
53.536765000000003,0x00,,Error
53.544303666666664,0xF0,,
53.547668125000001,0x70,,Error
53.549362625000001,0x00,,
53.551449833333336,0xF0,,
53.552701624999997,0xF0,,
53.554397125000001,0x00,,
53.556066041666668,0x00,,Error
53.558596125000001,0x00,,
53.559847499999997,0x00,,
53.561099374999998,0xF0,,
53.562377791666670,0x00,,Error
56.016563124999998,0x00,,Error
56.200775874999998,0x00,,Error
56.201777499999999,0x00,,Error
56.202779166666666,0x00,,Error
56.203905958333330,0x00,,Error
56.211542999999999,0x00,,Error
56.251920458333331,0x00,,Error
56.252922124999998,0x00,,Error
56.253986374999997,0x00,,Error
56.263000666666670,0x00,,Error
56.264001958333331,0x00,,Error
56.281405208333332,0x00,,Error
56.292452916666669,0x00,,Error
56.293454541666669,0x00,,Error
56.313048625000000,0x00,,Error
56.322627249999996,0x00,,Error
56.332519416666663,0x00,,Error
56.333521041666664,0x00,,Error
56.334773124999998,0x00,,Error
56.340533166666667,0x00,,Error
56.342474125000003,0x00,,Error
56.360786041666664,0x00,,Error
56.361788208333330,0x00,,Error
56.364104791666669,0x00,,Error
56.373371499999998,0x00,,Error
56.380725916666670,0x00,,Error
56.382166083333331,0x00,,Error
56.383167833333331,0x00,,Error
56.390430458333334,0x00,,Error
56.392777166666669,0x00,,Error
56.412528458333334,0x00,,Error
56.413529875000002,0x00,,Error
56.433155249999999,0x00,,Error
56.443610000000000,0x00,,Error
56.451778458333337,0x00,,Error
56.453656375000001,0x00,,Error
56.464079624999997,0x00,,Error
56.470714541666666,0x00,,Error
56.471778708333332,0x00,,Error
56.480761083333334,0x00,,Error
56.483953333333332,0x00,,Error
56.499195499999999,0x00,,Error
56.502200666666667,0x00,,Error
56.503202583333334,0x00,,Error
56.510653583333337,0x00,,Error
56.513501041666665,0x00,,Error
56.533190500000003,0x00,,Error
56.542548833333335,0x00,,Error
56.560796291666669,0x00,,Error
56.562549208333330,0x00,,Error
56.564865333333330,0x00,,Error
56.582799999999999,0x00,,Error
56.590718166666669,0x00,,Error
56.591782333333335,0x00,,Error
56.593597916666667,0x00,,Error
56.594724333333332,0x00,,Error
56.612158749999999,0x00,,Error
56.631595333333337,0x00,,Error
56.632722291666667,0x00,,Error
56.635038375000001,0x00,,Error
56.651908166666665,0x00,,Error
56.652972333333331,0x00,,Error
56.665930458333335,0x00,,Error
56.672345999999997,0x00,,Error
56.673347541666665,0x00,,Error
56.681234916666668,0x00,,Error
56.682236458333335,0x00,,Error
56.684865375000001,0x00,,Error
56.693785541666664,0x00,,Error
56.695162791666668,0x00,,Error
56.700671041666666,0x00,,Error
56.713691083333330,0x00,,Error
56.721484750000002,0x00,,Error
56.733627791666663,0x00,,Error
56.742830166666664,0x00,,Error
56.750872583333333,0x00,,Error
56.754941375000001,0x00,,Error
56.761827583333336,0x00,,Error
56.772125416666668,0x00,,Error
56.779386250000002,0x00,,Error
56.784018625000002,0x00,,Error
56.812030708333332,0x00,,Error
56.813094999999997,0x00,,Error
56.831030291666664,0x00,,Error
56.832031958333332,0x00,,Error
56.842110833333336,0x00,,Error
56.844051624999999,0x00,,Error
56.853534708333335,0x00,,Error
56.865303375000003,0x00,,Error
56.874881458333334,0x00,,Error
56.890813375000000,0x00,,Error
56.892566208333335,0x00,,Error
56.900891708333333,0x00,,Error
56.902707249999999,0x00,,Error
56.903771541666664,0x00,,Error
56.904835708333330,0x00,,Error
56.915540499999999,0x00,,Error
56.923867416666667,0x00,,Error
56.932224124999998,0x00,,Error
56.933789041666664,0x00,,Error
56.934790333333332,0x00,,Error
56.940799458333331,0x00,,Error
56.941863583333337,0x00,,Error
56.942865249999997,0x00,,Error
56.961644958333331,0x00,,Error
56.962677749999997,0x01,,Error
56.963678874999999,0x00,,Error
56.964712041666665,0x00,,Error
56.972317875000002,0x00,,Error
56.973318999999996,0x00,,Error
56.974383791666668,0x00,,Error
56.980455208333332,0x00,,Error
56.981581958333337,0x00,,Error
56.982739958333333,0x00,,Error
56.983741500000001,0x00,,Error
62.527746083333334,0x00,,Error
62.535285999999999,0xF0,,
62.537815958333333,0xF0,,
62.539485249999998,0x70,,Error
62.543685458333336,0x70,,Error
62.545797583333332,0x70,,Error
62.547884791666668,0x70,,Error
62.549580083333332,0x00,,Error
62.551667000000002,0x00,,
62.553363124999997,0x00,,Error
62.615915416666667,0x00,,Error
62.623455291666666,0xF0,,
62.626820291666668,0x70,,Error
62.628515083333333,0x00,,
62.630602750000001,0xF0,,
62.631854750000002,0xF0,,
62.633550874999997,0x00,,
62.635220500000003,0x00,,Error
62.637751250000001,0x00,,
62.639002833333336,0x00,,
62.640255041666670,0xF0,,
62.641533666666668,0x00,,Error
62.759157291666668,0x00,,Error
62.763043083333336,0xFF,,
62.766696791666668,0xF0,,
62.770061499999997,0x70,,Error
62.771756250000003,0x00,,
62.773843541666665,0xF0,,
62.775095499999999,0xF0,,
62.776791208333336,0x00,,
62.778460541666668,0x00,,Error
62.780991041666667,0x00,,
62.782242541666669,0x00,,
62.783494625000003,0xF0,,
62.784773083333334,0x00,,Error
62.837859666666667,0x00,,Error
63.082666125000003,0x00,,Error
63.123173874999999,0x00,,Error
63.124175375000000,0x00,,Error
63.125177166666667,0x00,,Error
63.127681375000002,0x00,,Error
63.144741458333336,0x00,,Error
63.174820708333336,0x00,,Error
63.175822291666670,0x00,,Error
63.184805625000003,0x00,,Error
63.203994500000000,0x00,,Error
63.224623708333333,0x00,,Error
63.225625375000000,0x00,,Error
63.243500583333336,0x00,,Error
63.245817500000001,0x00,,Error
63.264506583333336,0x00,,Error
63.281943041666665,0x00,,Error
63.284823416666669,0x00,,Error
63.285825291666669,0x00,,Error
63.294497208333333,0x00,,Error
63.315505625000000,0x00,,Error
63.343684583333335,0x00,,Error
63.345750875000000,0x00,,Error
63.355300541666665,0x00,,Error
63.372927083333330,0x00,,Error
63.374304750000000,0x00,,Error
63.376997375000002,0x00,,Error
63.385106083333334,0x00,,Error
63.401918750000000,0x00,,Error
63.404862083333335,0x00,,Error
63.415101333333332,0x00,,Error
63.445535208333332,0x00,,Error
63.472651791666664,0x00,,Error
63.476033791666666,0x00,,Error
63.485833999999997,0x00,,Error
63.487211500000001,0x00,,Error
63.495320749999998,0x00,,Error
63.497074166666664,0x00,,Error
63.524126125000002,0x00,,Error
63.525503708333332,0x00,,Error
63.534552333333330,0x00,,Error
63.535992791666665,0x00,,Error
63.537432916666667,0x00,,Error
63.545103333333330,0x00,,Error
63.556907041666669,0x00,,Error
63.575347874999999,0x00,,Error
63.583331333333334,0x00,,Error
63.584521125000002,0x00,,Error
63.595509541666665,0x00,,Error
63.596949750000000,0x00,,Error
63.604995708333334,0x00,,Error
63.605997250000001,0x00,,Error
63.607625041666665,0x00,,Error
63.615483041666664,0x00,,Error
63.627535791666666,0x00,,Error
63.645848416666666,0x00,,Error
63.655022166666669,0x00,,Error
63.665448208333331,0x00,,Error
63.675121583333336,0x00,,Error
63.676185583333336,0x00,,Error
63.685107125000002,0x00,,Error
63.696657791666667,0x00,,Error
63.722136958333330,0x00,,Error
63.735128416666669,0x00,,Error
63.743360916666667,0x00,,Error
63.744487999999997,0x00,,Error
63.745614916666668,0x00,,Error
63.755475083333330,0x00,,Error
63.756477208333337,0x00,,Error
63.763394791666670,0x00,,Error
63.766337208333333,0x00,,Error
63.775008999999997,0x00,,Error
63.776887041666669,0x00,,Error
63.785120791666664,0x00,,Error
63.795044708333336,0x00,,Error
63.796108916666668,0x00,,Error
63.807160625000002,0x00,,Error
63.815769375000002,0x00,,Error
63.825880458333330,0x00,,Error
63.827007375000001,0x00,,Error
63.846228083333337,0x00,,Error
63.856088791666664,0x00,,Error
63.886926375000002,0x00,,Error
63.906902333333335,0x00,,Error
63.926877958333336,0x00,,Error
63.936051833333330,0x00,,Error
63.945538791666664,0x00,,Error
63.946540541666664,0x00,,Error
63.957590458333335,0x00,,Error
63.965134749999997,0x00,,Error
63.966700083333336,0x00,,Error
63.974807333333331,0x00,,Error
63.975996708333334,0x00,,Error
63.984167583333331,0x00,,Error
63.985169208333332,0x00,,Error
63.986233541666664,0x00,,Error
64.002387666666664,0x00,,Error
64.025651291666662,0x00,,Error
64.037139583333328,0x00,,Error
64.045372791666665,0x00,,Error
64.054107291666668,0x00,,Error
64.055109083333335,0x00,,Error
64.063529333333335,0x00,,Error
64.065783541666661,0x00,,Error
64.105327541666668,0x00,,Error
64.106704666666673,0x00,,Error
64.114751374999997,0x00,,Error
64.115753416666664,0x00,,Error
64.124802375000002,0x00,,Error
64.132598000000002,0x00,,Error
64.165906708333338,0x00,,Error
64.167033541666669,0x00,,Error
64.174452458333334,0x00,,Error
64.175454250000001,0x00,,Error
64.183561666666662,0x00,,Error
64.185252000000006,0x00,,Error
64.193860541666666,0x00,,Error
64.226983375000003,0x00,,Error
64.235718208333338,0x00,,Error
64.237721541666673,0x00,,Error
64.244953416666661,0x00,,Error
64.245955374999994,0x00,,Error
64.255252041666665,0x00,,Error
64.262858875000006,0x00,,Error
64.263860875000006,0x00,,Error
64.305779874999999,0x00,,Error
64.314515208333333,0x00,,Error
64.315517166666666,0x00,,Error
64.316706708333328,0x00,,Error
64.325253750000002,0x00,,Error
64.334489916666669,0x00,,Error
64.343600416666661,0x00,,Error
64.377036750000002,0x00,,Error
64.385707666666661,0x00,,Error
64.387022375000001,0x00,,Error
64.396069124999997,0x00,,Error
64.404052166666673,0x00,,Error
64.405617125000006,0x00,,Error
64.436357500000000,0x00,,Error
64.438235833333337,0x00,,Error
64.455766083333330,0x00,,Error
64.456767999999997,0x00,,Error
64.464814458333336,0x00,,Error
64.473863625000007,0x00,,Error
64.515907208333331,0x00,,Error
64.524328249999996,0x00,,Error
64.525580208333338,0x00,,Error
64.535691499999999,0x00,,Error
64.543674124999995,0x00,,Error
64.576044124999996,0x00,,Error
64.577546749999996,0x00,,Error
64.578798791666671,0x00,,Error
64.595328791666660,0x00,,Error
64.596706208333330,0x00,,Error
64.604875708333338,0x00,,Error
64.605939833333338,0x00,,Error
64.614297583333340,0x00,,Error
64.615862583333339,0x00,,Error
64.625471416666670,0x00,,Error
64.686288291666671,0x00,,Error
64.696335541666670,0x00,,Error
64.697587291666665,0x00,,Error
64.705568958333330,0x00,,Error
64.706883791666669,0x00,,Error
64.715491583333332,0x00,,Error
64.716806375000004,0x00,,Error
64.725164041666673,0x00,,Error
64.726165541666660,0x00,,Error
64.727292625000004,0x00,,Error
64.735399541666666,0x00,,Error
64.736401666666666,0x00,,Error
64.744509375000007,0x00,,Error
64.745511041666660,0x00,,Error
64.763040375000003,0x00,,Error
64.815939374999999,0x00,,Error
64.818005458333332,0x00,,Error
64.837475458333330,0x00,,Error
64.845770958333333,0x00,,Error
64.854942583333340,0x00,,Error
64.856445166666660,0x00,,Error
64.857446624999994,0x00,,Error
64.864739833333331,0x00,,Error
64.865741374999999,0x00,,Error
64.874161583333333,0x00,,Error
64.875789374999997,0x00,,Error
64.884647999999999,0x00,,Error
64.894570999999999,0x00,,Error
64.936360041666660,0x00,,Error
64.956394666666668,0x00,,Error
64.965378333333334,0x00,,Error
64.967068666666663,0x00,,Error
64.985661583333339,0x00,,Error
64.986663166666673,0x00,,Error
64.995521916666661,0x00,,Error
65.004130791666668,0x00,,Error
65.005758458333332,0x00,,Error
65.013991416666670,0x00,,Error
65.015744874999996,0x00,,Error
65.023101083333330,0x00,,Error
65.024165541666662,0x00,,Error
65.075823708333331,0x00,,Error
65.077639583333337,0x00,,Error
65.095734250000007,0x00,,Error
65.098426291666669,0x00,,Error
65.105658125000005,0x00,,Error
65.107348500000001,0x00,,Error
65.115706666666668,0x00,,Error
65.116833583333332,0x00,,Error
65.125817624999996,0x00,,Error
65.133863125000005,0x00,,Error
65.134990125000002,0x00,,Error
65.135991833333335,0x00,,Error
65.145852625000003,0x00,,Error
65.154899083333333,0x00,,Error
65.174495541666673,0x00,,Error
65.247118666666665,0x00,,Error
65.266589458333328,0x00,,Error
65.276325291666666,0x00,,Error
65.286436333333327,0x00,,Error
65.287500458333326,0x00,,Error
65.296358999999995,0x00,,Error
65.303903208333338,0x00,,Error
65.305343208333326,0x00,,Error
65.306344708333327,0x00,,Error
65.315015625000001,0x00,,Error
65.316017416666668,0x00,,Error
65.324751000000006,0x00,,Error
65.343097250000000,0x00,,Error
65.344099249999999,0x00,,Error
65.395190749999998,0x00,,Error
65.407055458333332,0x00,,Error
65.414474999999996,0x00,,Error
65.415664708333338,0x00,,Error
65.416729083333337,0x00,,Error
65.424149416666666,0x00,,Error
65.425213749999998,0x00,,Error
65.426215833333330,0x00,,Error
65.468318999999994,0x00,,Error
65.477991375000002,0x00,,Error
65.486098374999997,0x00,,Error
65.487663208333331,0x00,,Error
65.495771250000004,0x00,,Error
65.505632208333338,0x00,,Error
65.506634125000005,0x00,,Error
65.515180083333334,0x00,,Error
65.516244749999998,0x00,,Error
65.523976875000002,0x00,,Error
65.533650041666661,0x00,,Error
65.535779166666671,0x00,,Error
65.576378750000003,0x00,,Error
65.577881083333338,0x00,,Error
65.596475874999996,0x00,,Error
65.606399291666662,0x00,,Error
65.616698541666665,0x00,,Error
65.618013125000004,0x00,,Error
65.627185291666663,0x00,,Error
65.634855375000001,0x00,,Error
65.636170208333340,0x00,,Error
65.645029291666660,0x00,,Error
65.646281291666668,0x00,,Error
65.655391041666661,0x00,,Error
65.656392791666661,0x00,,Error
65.664626166666665,0x00,,Error
65.666191499999996,0x00,,Error
65.674237250000004,0x00,,Error
65.675865250000001,0x00,,Error
65.686102708333337,0x00,,Error
65.694399125000004,0x00,,Error
65.746808041666668,0x00,,Error
65.766467791666670,0x00,,Error
65.768408458333340,0x00,,Error
65.775827916666671,0x00,,Error
65.786002333333329,0x00,,Error
65.787129500000006,0x00,,Error
65.788131250000006,0x00,,Error
65.796051416666671,0x00,,Error
65.805035958333335,0x00,,Error
65.806037541666669,0x00,,Error
65.815835458333339,0x00,,Error
65.816837291666673,0x00,,Error
65.823504833333331,0x00,,Error
65.824569333333329,0x00,,Error
65.876661374999998,0x00,,Error
65.886397416666668,0x00,,Error
65.896946624999998,0x00,,Error
65.898073208333329,0x00,,Error
65.906368375000000,0x00,,Error
65.915415208333329,0x00,,Error
65.916917874999996,0x00,,Error
65.918420374999997,0x00,,Error
65.925527041666669,0x00,,Error
65.927405333333340,0x00,,Error
65.936702499999996,0x00,,Error
65.937891833333339,0x00,,Error
65.946750791666673,0x00,,Error
65.955171833333338,0x00,,Error
65.956862291666667,0x00,,Error
65.966222041666668,0x00,,Error
65.974268041666662,0x00,,Error
65.975708041666664,0x00,,Error
65.986883250000005,0x00,,Error
65.996806958333337,0x00,,Error
65.998121624999996,0x00,,Error
66.005916624999998,0x00,,Error
66.016841583333331,0x00,,Error
66.018218916666669,0x00,,Error
66.024041041666663,0x00,,Error
66.027077500000004,0x00,,Error
66.038189958333334,0x00,,Error
66.055312791666665,0x00,,Error
66.057003124999994,0x00,,Error
66.065173208333334,0x00,,Error
66.066675708333335,0x00,,Error
66.086524416666663,0x00,,Error
66.087526583333329,0x00,,Error
66.116268125000005,0x00,,Error
66.127382874999995,0x00,,Error
66.135930166666668,0x00,,Error
66.153870249999997,0x00,,Error
66.155435999999995,0x00,,Error
66.164357624999994,0x00,,Error
66.165421624999993,0x00,,Error
66.167424999999994,0x00,,Error
66.196285500000002,0x00,,Error
66.206146875000002,0x00,,Error
66.218826041666674,0x00,,Error
66.223396500000007,0x00,,Error
66.225525666666670,0x00,,Error
66.235575749999995,0x00,,Error
66.236577333333329,0x00,,Error
66.255393624999996,0x00,,Error
66.258148583333337,0x00,,Error
66.286201000000005,0x00,,Error
66.306020000000004,0x00,,Error
66.314379666666667,0x00,,Error
66.336639208333338,0x00,,Error
66.357647374999999,0x00,,Error
66.366445374999998,0x00,,Error
66.377028124999995,0x00,,Error
66.385199791666665,0x00,,Error
66.386264333333330,0x00,,Error
66.387266249999996,0x00,,Error
66.406082208333331,0x00,,Error
66.407083999999998,0x00,,Error
